Room Number,Appliance Type,Issue Reported,Last Maintenance Date,Usage Hours,Days Since Maintenance,Average_Daily_Usage,Device_Year,Warranty Year
2064,Television,Leaking,9/16/2024,3404,274,13,2015,2019
2035,Heater,Flickering,7/17/2023,1521,700,2,2022,2025
2102,Heater,Leaking,12/13/2023,2657,552,5,2016,2019
2086,Lamp,Leaking,8/15/2023,2458,672,4,2014,2016
2054,Television,Noisy,8/14/2024,690,307,2,2019,2023
2110,Air Conditioner,Flickering,5/14/2024,2854,398,7,2024,2029
2102,Lamp,Not working,7/13/2024,3715,338,10,2024,2026
2054,Coffee Maker,Unresponsive,9/16/2023,1214,640,2,2023,2026
2139,Coffee Maker,Flickering,8/6/2024,1940,314,7,2022,2025
2143,Lamp,Flickering,12/2/2023,1409,563,3,2023,2025
2049,Mini Fridge,Noisy,8/16/2023,2497,671,3,2016,2020
2118,Hair Dryer,Overheating,11/14/2024,2687,214,13,2019,2021
2083,Lamp,Flickering,1/24/2024,1819,509,3,2016,2018
2125,Lamp,Leaking,4/15/2025,3367,62,24,2020,2022
2012,Mini Fridge,Unresponsive,8/12/2023,4895,674,8,2024,2027
2055,Lamp,Flickering,1/22/2025,1081,145,6,2022,2024
2039,Mini Fridge,Flickering,3/22/2025,1106,87,12,2019,2021
2097,Television,Overheating,3/16/2023,4911,823,6,2021,2025
2000,Mini Fridge,Leaking,12/14/2024,4866,184,24,2018,2023
2112,Mini Fridge,Flickering,12/5/2024,4020,194,20,2019,2021
2038,Mini Fridge,Noisy,3/7/2024,4356,467,8,2024,2029
2016,Coffee Maker,Unresponsive,1/15/2024,1887,519,4,2016,2019
2009,Lamp,Low performance,11/28/2024,2940,200,15,2017,2019
2129,Heater,Overheating,7/25/2023,4114,693,6,2018,2021
2047,Heater,Leaking,2/15/2024,3352,487,8,2015,2018
2040,Mini Fridge,Overheating,10/7/2024,4015,252,16,2019,2024
2093,Lamp,Leaking,6/8/2025,4346,9,24,2017,2019
2076,Hair Dryer,Leaking,3/28/2024,1089,445,3,2019,2021
2080,Hair Dryer,Noisy,9/19/2023,2410,636,3,2024,2026
2065,Lamp,Low performance,2/12/2025,3302,124,24,2021,2023
2121,Air Conditioner,Leaking,5/18/2023,661,760,1,2024,2029
2073,Lamp,Flickering,6/26/2023,899,722,1,2021,2023
2055,Coffee Maker,Noisy,12/16/2023,2375,549,4,2014,2017
2044,Television,Low performance,3/7/2023,3113,833,4,2016,2020
2105,Television,Flickering,11/8/2024,2652,221,13,2023,2027
2077,Hair Dryer,Leaking,12/12/2024,591,187,3,2018,2020
2143,Coffee Maker,Overheating,10/4/2023,5078,621,8,2017,2020
2051,Hair Dryer,Low performance,4/7/2024,3370,436,8,2022,2024
2000,Heater,Not working,11/1/2023,3753,593,7,2015,2018
2143,Television,Not working,7/18/2024,1532,334,4,2020,2024
2043,Mini Fridge,Noisy,11/2/2023,3234,593,5,2015,2017
2052,Coffee Maker,Low performance,10/30/2023,965,596,1,2014,2017
2005,Mini Fridge,Low performance,8/14/2024,3722,307,11,2022,2025
2033,Television,Low performance,8/10/2023,4191,677,5,2022,2026
2127,Heater,Leaking,10/19/2024,4211,240,18,2017,2020
2066,Coffee Maker,Leaking,4/6/2023,3872,802,4,2016,2019
2056,Hair Dryer,Unresponsive,12/20/2024,3371,178,18,2016,2018
2139,Coffee Maker,Unresponsive,3/6/2024,528,467,1,2015,2018
2123,Hair Dryer,Unresponsive,12/29/2023,736,536,2,2017,2019
2115,Air Conditioner,Not working,10/21/2023,3224,605,5,2024,2029
2037,Heater,Flickering,4/14/2025,4523,64,24,2020,2023
2012,Coffee Maker,Noisy,1/29/2024,3838,504,8,2017,2020
2067,Air Conditioner,Overheating,5/29/2023,2919,749,4,2019,2024
2004,Lamp,Flickering,2/10/2023,951,857,1,2017,2019
2014,Lamp,Low performance,9/20/2024,4735,270,19,2015,2017
2027,Lamp,Noisy,5/24/2025,3428,24,24,2017,2019
2116,Heater,Low performance,8/27/2024,2859,293,9,2016,2019
2120,Lamp,Low performance,6/6/2023,2491,741,3,2023,2025
2069,Television,Leaking,12/20/2024,5007,178,24,2014,2018
2083,Lamp,Low performance,6/5/2025,3095,12,24,2015,2017
2109,Coffee Maker,Noisy,7/30/2023,2020,687,3,2024,2027
2073,Air Conditioner,Flickering,2/11/2023,626,857,1,2023,2028
2093,Coffee Maker,Overheating,5/25/2025,4178,23,23,2015,2018
2019,Hair Dryer,Noisy,9/9/2023,2938,647,4,2021,2023
2118,Lamp,Overheating,4/12/2024,2841,431,6,2017,2019
2143,Lamp,Flickering,10/15/2024,2247,245,10,2014,2016
2069,Lamp,Overheating,6/10/2024,1321,371,3,2014,2016
2056,Television,Leaking,4/25/2025,3032,52,23,2021,2025
2021,Coffee Maker,Overheating,12/1/2023,3491,563,6,2024,2027
2006,Television,Noisy,2/7/2023,2555,861,3,2015,2019
2049,Heater,Low performance,10/29/2023,953,597,2,2017,2020
2106,Air Conditioner,Leaking,6/20/2024,3385,361,9,2015,2020
2060,Hair Dryer,Not working,1/22/2025,4712,145,24,2015,2017
2018,Coffee Maker,Leaking,7/1/2024,2770,351,8,2015,2018
2072,Coffee Maker,Overheating,7/29/2023,3065,688,5,2017,2020
2015,Lamp,Flickering,3/12/2023,4814,828,5,2023,2025
2117,Heater,Overheating,12/9/2024,1513,189,9,2021,2024
2025,Air Conditioner,Leaking,6/17/2023,2767,731,4,2016,2021
2073,Coffee Maker,Flickering,7/8/2023,2702,709,4,2020,2023
2074,Mini Fridge,Low performance,11/8/2023,2437,586,4,2014,2018
2031,Mini Fridge,Flickering,11/24/2023,3207,570,5,2016,2020
2112,Lamp,Leaking,2/16/2025,2332,121,18,2024,2026
2126,Air Conditioner,Overheating,11/28/2024,2804,201,13,2017,2022
2069,Mini Fridge,Leaking,3/8/2025,1867,101,20,2018,2022
2032,Coffee Maker,Unresponsive,11/20/2024,3401,208,14,2019,2022
2030,Television,Not working,1/10/2024,3401,524,6,2017,2021
2061,Coffee Maker,Flickering,3/25/2025,908,84,12,2014,2017
2080,Heater,Flickering,4/14/2023,4861,795,6,2017,2020
2146,Hair Dryer,Leaking,6/10/2024,1214,372,3,2017,2019
2097,Television,Low performance,3/30/2024,4034,443,9,2014,2018
2143,Coffee Maker,Noisy,8/13/2024,4588,308,14,2016,2019
2016,Mini Fridge,Overheating,7/30/2023,2721,688,4,2024,2029
2110,Heater,Low performance,3/6/2024,2655,468,6,2015,2018
2045,Television,Unresponsive,3/12/2024,3781,462,8,2021,2025
2028,Coffee Maker,Unresponsive,5/28/2024,4124,385,10,2022,2025
2061,Coffee Maker,Unresponsive,3/18/2025,2104,91,21,2015,2018
2138,Mini Fridge,Overheating,5/3/2025,3395,45,24,2021,2026
2135,Hair Dryer,Low performance,5/17/2023,4643,762,7,2015,2017
2034,Hair Dryer,Noisy,3/17/2023,1482,822,2,2017,2019
2111,Air Conditioner,Not working,2/15/2025,1806,122,13,2020,2025
2005,Lamp,Overheating,8/25/2023,2723,661,4,2023,2025
2075,Coffee Maker,Low performance,4/2/2025,4764,75,24,2018,2021
2107,Hair Dryer,Unresponsive,9/7/2024,3101,282,10,2014,2016
2129,Air Conditioner,Overheating,2/14/2025,1568,122,13,2021,2026
2107,Heater,Low performance,3/14/2024,2760,460,6,2018,2021
2050,Air Conditioner,Overheating,1/6/2024,4181,528,8,2021,2026
2104,Mini Fridge,Leaking,5/11/2025,4174,36,24,2016,2020
2123,Lamp,Overheating,11/5/2023,1975,590,3,2019,2021
2015,Heater,Not working,10/6/2023,4336,619,6,2015,2018
2085,Mini Fridge,Unresponsive,4/5/2025,811,73,11,2015,2018
2059,Hair Dryer,Overheating,11/13/2023,2624,581,4,2016,2018
2072,Television,Overheating,9/23/2023,1796,632,3,2023,2027
2099,Hair Dryer,Leaking,2/11/2024,1402,491,3,2019,2021
2084,Television,Not working,7/24/2023,918,693,1,2024,2028
2122,Hair Dryer,Unresponsive,10/13/2023,3910,613,7,2018,2020
2129,Lamp,Noisy,6/16/2025,2326,1,24,2015,2017
2150,Lamp,Noisy,9/4/2024,808,285,3,2014,2016
2066,Mini Fridge,Not working,1/3/2024,3143,530,6,2022,2026
2050,Mini Fridge,Overheating,7/4/2024,4525,347,12,2014,2018
2107,Hair Dryer,Leaking,2/8/2024,3900,494,8,2014,2016
2104,Air Conditioner,Unresponsive,11/23/2023,1018,571,1,2015,2020
2023,Coffee Maker,Low performance,10/18/2023,4397,608,7,2016,2019
2095,Television,Unresponsive,8/8/2024,4903,313,16,2018,2022
2121,Heater,Leaking,10/12/2024,2687,247,12,2024,2027
2068,Heater,Flickering,6/9/2023,2159,738,4,2014,2017
2039,Television,Noisy,8/29/2024,2240,291,8,2021,2025
2123,Coffee Maker,Noisy,11/16/2024,3479,212,15,2019,2022
2050,Heater,Leaking,5/21/2025,2366,27,24,2023,2026
2039,Television,Flickering,7/11/2024,3110,341,9,2022,2026
2028,Mini Fridge,Low performance,4/18/2024,3770,424,8,2016,2021
2045,Television,Noisy,7/26/2024,916,325,2,2022,2026
2137,Coffee Maker,Noisy,9/9/2023,3342,647,5,2019,2022
2008,Lamp,Noisy,6/14/2024,4054,367,11,2020,2022
2068,Heater,Leaking,6/12/2024,1018,369,3,2023,2026
2033,Hair Dryer,Flickering,1/21/2023,3256,878,4,2016,2018
2110,Lamp,Leaking,5/3/2025,4869,45,24,2021,2023
2035,Television,Unresponsive,11/17/2023,3998,577,8,2017,2021
2009,Lamp,Flickering,3/16/2024,3914,457,9,2019,2021
2080,Heater,Low performance,11/23/2024,2310,205,13,2021,2024
2082,Television,Unresponsive,5/13/2023,4418,766,6,2023,2027
2135,Lamp,Not working,8/28/2024,3760,293,13,2022,2024
2121,Mini Fridge,Unresponsive,4/5/2025,2327,72,24,2015,2020
2001,Air Conditioner,Flickering,8/18/2024,2267,302,8,2022,2027
2059,Mini Fridge,Not working,3/21/2024,1926,452,4,2016,2020
2025,Coffee Maker,Not working,3/13/2024,1711,460,4,2017,2020
2107,Mini Fridge,Leaking,1/31/2023,4188,867,5,2014,2016
2037,Mini Fridge,Flickering,3/8/2025,1119,101,10,2019,2023
2020,Heater,Low performance,2/7/2023,4867,861,5,2019,2022
2045,Television,Low performance,9/21/2024,2025,269,7,2019,2023
2066,Air Conditioner,Unresponsive,7/18/2023,3761,699,5,2017,2022
2061,Heater,Not working,8/17/2023,2840,669,3,2015,2018
2120,Television,Noisy,2/8/2023,618,860,1,2023,2027
2001,Heater,Not working,12/17/2023,4141,547,7,2024,2027
2009,Hair Dryer,Flickering,11/4/2024,3155,224,15,2023,2025
2080,Television,Leaking,1/22/2023,4010,877,5,2022,2026
2127,Hair Dryer,Not working,12/27/2023,1247,538,3,2024,2026
2039,Hair Dryer,Not working,3/5/2024,1235,468,2,2019,2021
2104,Lamp,Unresponsive,7/7/2024,3502,345,11,2019,2021
2088,Hair Dryer,Unresponsive,10/6/2024,3097,254,12,2014,2016
2047,Coffee Maker,Unresponsive,3/13/2025,1243,95,19,2023,2026
2025,Television,Overheating,7/15/2023,1139,702,1,2018,2022
2135,Mini Fridge,Noisy,3/9/2024,1215,465,2,2020,2024
2060,Air Conditioner,Noisy,1/16/2025,2794,152,18,2018,2023
2150,Lamp,Overheating,9/1/2024,3084,288,10,2023,2025
2123,Air Conditioner,Not working,7/15/2024,1942,336,6,2023,2028
2007,Mini Fridge,Leaking,2/28/2023,3343,839,4,2018,2022
2131,Mini Fridge,Low performance,11/4/2024,2020,225,8,2020,2024
2042,Lamp,Not working,4/20/2023,4664,789,7,2015,2017
2021,Mini Fridge,Noisy,5/2/2025,3882,45,24,2024,2028
2005,Lamp,Leaking,1/19/2025,2139,148,15,2024,2026
2034,Air Conditioner,Unresponsive,9/16/2024,4260,273,16,2015,2020
2041,Coffee Maker,Not working,1/24/2024,2090,510,4,2014,2017
2089,Lamp,Flickering,12/12/2024,3098,187,15,2023,2025
2133,Lamp,Leaking,4/13/2023,379,796,1,2022,2024
2051,Hair Dryer,Leaking,7/28/2024,2615,324,8,2022,2024
2057,Lamp,Flickering,4/28/2024,1049,415,2,2023,2025
2111,Television,Noisy,4/25/2023,724,784,1,2017,2021
2104,Television,Overheating,6/10/2025,702,7,24,2016,2020
2039,Coffee Maker,Unresponsive,8/7/2023,1889,679,3,2015,2018
2010,Television,Not working,4/30/2024,3830,413,9,2023,2027
2145,Hair Dryer,Unresponsive,6/14/2023,2022,733,3,2022,2024
2073,Heater,Unresponsive,5/30/2025,640,17,21,2022,2025
2126,Mini Fridge,Noisy,4/10/2023,4508,799,5,2022,2027
2137,Mini Fridge,Leaking,7/14/2024,1976,338,6,2023,2028
2120,Television,Not working,10/20/2023,1355,606,3,2024,2028
2017,Lamp,Flickering,4/15/2023,4005,794,6,2021,2023
2092,Television,Overheating,7/1/2024,915,350,3,2020,2024
2108,Coffee Maker,Noisy,6/7/2025,4005,9,24,2015,2018
2085,Mini Fridge,Not working,2/6/2023,1414,861,1,2021,2024
2128,Television,Not working,12/14/2023,1161,550,2,2021,2025
2081,Lamp,Noisy,10/11/2023,2947,615,4,2022,2024
2118,Hair Dryer,Noisy,8/6/2024,4904,315,16,2022,2024
2134,Mini Fridge,Low performance,2/24/2024,2643,478,5,2024,2026
2061,Lamp,Not working,4/1/2025,2738,77,24,2018,2020
2091,Television,Noisy,7/3/2024,2149,349,6,2014,2018
2087,Television,Not working,4/4/2025,3379,73,24,2023,2027
2099,Hair Dryer,Unresponsive,6/26/2023,3433,722,4,2022,2024
2148,Hair Dryer,Unresponsive,4/6/2025,3274,71,24,2019,2021
2117,Air Conditioner,Leaking,5/12/2023,4047,766,5,2015,2020
2106,Coffee Maker,Noisy,12/6/2024,975,193,6,2024,2027
2103,Air Conditioner,Noisy,1/3/2025,1327,164,9,2016,2021
2072,Coffee Maker,Leaking,10/4/2023,1073,621,2,2018,2021
2037,Air Conditioner,Low performance,4/22/2024,1639,421,4,2019,2024
2088,Mini Fridge,Flickering,1/26/2025,4097,141,24,2020,2023
2093,Television,Not working,5/7/2025,3811,41,24,2014,2018
2011,Hair Dryer,Low performance,9/11/2024,1045,279,4,2024,2026
2132,Coffee Maker,Low performance,5/22/2024,3045,390,8,2022,2025
2075,Mini Fridge,Low performance,7/7/2023,3560,710,5,2021,2026
2066,Coffee Maker,Overheating,12/2/2024,3324,197,17,2018,2021
2069,Lamp,Noisy,12/9/2024,4393,190,22,2018,2020
2084,Air Conditioner,Unresponsive,11/25/2023,1883,569,4,2021,2026
2014,Lamp,Flickering,6/4/2025,4399,13,24,2023,2025
2035,Lamp,Leaking,2/23/2023,4824,844,6,2016,2018
2037,Mini Fridge,Not working,2/11/2025,2780,125,23,2018,2022
2049,Hair Dryer,Flickering,11/27/2024,621,202,3,2019,2021
2074,Coffee Maker,Leaking,6/7/2025,3381,10,24,2019,2022
2086,Mini Fridge,Low performance,4/2/2025,3080,76,24,2023,2027
2140,Heater,Not working,7/7/2024,425,345,2,2018,2021
2033,Television,Overheating,1/9/2023,3370,889,4,2015,2019
2123,Lamp,Unresponsive,11/26/2024,4600,203,23,2016,2018
2148,Mini Fridge,Low performance,3/21/2024,4412,452,9,2024,2028
2031,Hair Dryer,Flickering,11/4/2023,2232,590,4,2014,2016
2043,Lamp,Noisy,4/22/2023,2854,787,4,2014,2016
2059,Hair Dryer,Low performance,12/8/2024,3655,190,18,2021,2023
2052,Air Conditioner,Leaking,10/1/2023,4448,624,7,2016,2021
2122,Air Conditioner,Flickering,9/21/2023,4731,635,7,2021,2026
2134,Lamp,Not working,11/11/2023,2104,584,4,2018,2020
2119,Heater,Overheating,9/5/2024,3794,285,15,2022,2025
2047,Mini Fridge,Low performance,7/22/2024,2215,330,7,2015,2017
2021,Television,Flickering,8/7/2023,1114,680,1,2021,2025
2126,Hair Dryer,Flickering,11/24/2024,1929,205,10,2018,2020
2126,Hair Dryer,Flickering,3/5/2023,3622,834,4,2021,2023
2010,Heater,Noisy,1/14/2024,2227,519,5,2024,2027
2107,Mini Fridge,Unresponsive,1/9/2025,3467,159,23,2018,2023
2066,Mini Fridge,Leaking,6/2/2025,3697,15,24,2021,2025
2147,Lamp,Low performance,6/24/2024,480,358,2,2021,2023
2112,Mini Fridge,Low performance,5/25/2024,3007,388,8,2019,2021
2014,Air Conditioner,Low performance,10/2/2024,4418,258,15,2018,2023
2142,Mini Fridge,Leaking,1/31/2025,3801,136,24,2015,2018
2064,Mini Fridge,Leaking,9/13/2024,1710,277,7,2020,2023
2053,Lamp,Not working,7/11/2024,2970,341,9,2018,2020
2111,Hair Dryer,Noisy,5/14/2023,4678,765,6,2016,2018
2030,Air Conditioner,Leaking,3/30/2025,1126,78,14,2024,2029
2142,Lamp,Overheating,3/17/2024,4262,457,9,2022,2024
2118,Lamp,Leaking,2/26/2024,4367,476,9,2022,2024
2009,Television,Not working,9/28/2024,3424,262,13,2017,2021
2123,Heater,Noisy,4/8/2025,379,69,6,2024,2027
2112,Mini Fridge,Noisy,4/17/2025,1363,61,24,2022,2025
2094,Air Conditioner,Not working,4/15/2025,4361,63,24,2015,2020
2016,Coffee Maker,Flickering,3/26/2024,3314,447,7,2020,2023
2100,Hair Dryer,Not working,5/20/2023,5059,758,7,2024,2026
2012,Coffee Maker,Unresponsive,10/7/2023,2655,619,5,2020,2023
2137,Mini Fridge,Leaking,1/2/2023,648,897,1,2015,2020
2035,Lamp,Noisy,5/8/2024,3575,405,10,2020,2022
2082,Hair Dryer,Low performance,4/8/2023,3714,801,4,2019,2021
2089,Heater,Overheating,1/23/2023,880,875,1,2015,2018
2047,Lamp,Flickering,10/5/2024,1719,254,6,2015,2017
2100,Hair Dryer,Unresponsive,3/27/2025,2521,82,24,2014,2016
2019,Heater,Low performance,7/30/2023,3078,688,4,2016,2019
2147,Heater,Low performance,10/1/2023,3446,625,6,2017,2020
2115,Television,Low performance,1/30/2023,4947,869,6,2014,2018
2002,Hair Dryer,Leaking,3/4/2025,777,104,7,2016,2018
2083,Television,Low performance,7/22/2023,1936,695,2,2022,2026
2003,Television,Overheating,4/1/2023,2789,808,3,2019,2023
2023,Television,Not working,4/16/2025,717,61,12,2015,2019
2116,Coffee Maker,Leaking,6/2/2024,4931,379,12,2019,2022
2042,Mini Fridge,Noisy,12/6/2024,3742,193,19,2024,2029
2053,Lamp,Noisy,11/11/2024,4337,217,19,2018,2020
2093,Heater,Noisy,2/14/2025,1157,123,8,2021,2024
2026,Lamp,Unresponsive,4/1/2024,4674,442,10,2014,2016
2076,Mini Fridge,Leaking,6/18/2023,2067,729,3,2018,2021
2084,Television,Noisy,10/5/2024,3838,254,17,2018,2022
2089,Hair Dryer,Unresponsive,5/17/2023,3401,762,4,2024,2026
2062,Heater,Unresponsive,3/20/2024,3425,453,8,2023,2026
2140,Hair Dryer,Unresponsive,1/5/2024,3755,529,7,2022,2024
2055,Mini Fridge,Leaking,7/3/2024,1691,349,5,2024,2026
2084,Heater,Not working,1/2/2023,2748,897,3,2019,2022
2099,Air Conditioner,Unresponsive,4/3/2023,3126,805,4,2021,2026
2048,Lamp,Overheating,7/3/2024,1601,348,5,2019,2021
2071,Lamp,Not working,12/28/2023,810,537,2,2022,2024
2004,Heater,Noisy,5/31/2024,4591,382,13,2020,2023
2111,Air Conditioner,Unresponsive,5/16/2023,4755,762,6,2015,2020
2071,Coffee Maker,Noisy,6/15/2024,893,367,2,2016,2019
2130,Mini Fridge,Low performance,3/15/2023,2742,824,3,2024,2026
2107,Mini Fridge,Noisy,1/4/2025,4896,164,24,2017,2020
2050,Air Conditioner,Overheating,10/26/2024,4721,233,18,2018,2023
2138,Air Conditioner,Flickering,10/14/2024,2585,246,11,2020,2025
2144,Air Conditioner,Noisy,2/18/2025,1144,118,10,2015,2020
2127,Lamp,Overheating,3/15/2025,3137,93,24,2022,2024
2059,Heater,Low performance,1/24/2023,4489,875,5,2020,2023
2137,Coffee Maker,Unresponsive,7/15/2024,1151,336,4,2024,2027
2125,Mini Fridge,Low performance,4/13/2023,4310,795,5,2014,2017
2053,Hair Dryer,Leaking,1/25/2023,1255,873,2,2014,2016
2137,Mini Fridge,Low performance,5/22/2024,914,390,2,2024,2029
2005,Television,Low performance,5/6/2024,4649,407,11,2023,2027
2067,Television,Overheating,8/17/2024,2114,303,7,2018,2022
2011,Lamp,Flickering,5/3/2023,1925,775,3,2023,2025
2068,Coffee Maker,Flickering,2/4/2023,3445,864,4,2017,2020
2125,Lamp,Noisy,7/27/2023,1672,690,3,2014,2016
2040,Hair Dryer,Flickering,7/17/2023,695,700,1,2020,2022
2142,Hair Dryer,Flickering,4/29/2025,3739,48,24,2015,2017
2090,Heater,Leaking,8/24/2024,2373,296,8,2018,2021
2139,Heater,Not working,6/9/2024,1576,372,4,2018,2021
2004,Television,Leaking,5/13/2025,1086,34,24,2023,2027
2110,Hair Dryer,Not working,9/24/2023,3854,632,5,2024,2026
2141,Lamp,Not working,12/6/2023,4887,558,9,2019,2021
2089,Television,Unresponsive,1/24/2023,2751,874,3,2024,2028
2050,Coffee Maker,Leaking,5/9/2023,2554,770,4,2016,2019
2029,Lamp,Low performance,9/9/2023,2383,647,4,2015,2017
2138,Mini Fridge,Leaking,3/8/2025,4697,101,24,2023,2025
2052,Mini Fridge,Unresponsive,1/24/2024,4007,510,7,2022,2024
2067,Lamp,Not working,1/16/2024,795,517,2,2022,2024
2127,Coffee Maker,Overheating,2/19/2023,3628,848,5,2017,2020
2094,Coffee Maker,Low performance,6/11/2025,3459,6,24,2014,2017
2008,Hair Dryer,Low performance,4/5/2024,2895,438,6,2021,2023
2135,Television,Flickering,4/19/2025,3409,59,24,2023,2027
2144,Coffee Maker,Leaking,2/7/2023,2691,860,3,2018,2021
2100,Lamp,Overheating,11/9/2023,3207,586,6,2015,2017
2053,Air Conditioner,Not working,3/21/2023,2321,818,3,2015,2020
2044,Lamp,Unresponsive,2/12/2025,4547,125,24,2014,2016
2010,Air Conditioner,Not working,5/17/2023,897,761,2,2019,2024
2039,Television,Leaking,4/21/2025,4691,56,24,2016,2020
2050,Heater,Unresponsive,1/30/2024,1907,504,3,2017,2020
2089,Coffee Maker,Leaking,3/18/2025,1339,90,13,2019,2022
2042,Coffee Maker,Low performance,3/8/2024,3445,465,7,2019,2022
2085,Air Conditioner,Low performance,4/6/2023,4188,802,5,2018,2023
2138,Heater,Low performance,3/9/2025,767,100,8,2014,2017
2092,Mini Fridge,Flickering,8/19/2024,3585,302,12,2017,2020
2073,Air Conditioner,Noisy,10/28/2023,4147,597,7,2017,2022
2012,Mini Fridge,Flickering,5/11/2025,850,36,19,2020,2023
2098,Lamp,Low performance,4/9/2025,4349,68,24,2024,2026
2144,Coffee Maker,Flickering,10/1/2024,1177,259,5,2014,2017
2046,Lamp,Not working,11/29/2023,1984,566,4,2014,2016
2025,Air Conditioner,Overheating,1/1/2024,4570,533,9,2017,2022
2056,Lamp,Low performance,4/21/2024,3967,422,10,2015,2017
2125,Air Conditioner,Low performance,7/6/2023,4228,712,6,2016,2021
2090,Hair Dryer,Leaking,12/5/2023,2886,560,5,2021,2023
2150,Hair Dryer,Not working,11/28/2023,3420,567,5,2019,2021
2012,Heater,Unresponsive,1/15/2025,2764,152,18,2017,2020
2076,Lamp,Overheating,3/3/2023,4490,836,5,2015,2017
2023,Hair Dryer,Flickering,6/14/2023,14324,734,19,2024,2026
2094,Hair Dryer,Not working,12/29/2024,3579,170,22,2014,2016
2065,Coffee Maker,Flickering,4/2/2025,4438,75,24,2017,2020
2150,Coffee Maker,Overheating,8/29/2024,4107,291,14,2018,2021
2024,Mini Fridge,Flickering,6/5/2023,3229,742,5,2017,2020
2101,Heater,Noisy,10/13/2024,3650,247,15,2022,2025
2086,Mini Fridge,Leaking,11/4/2024,928,224,5,2015,2017
2089,Heater,Noisy,3/5/2023,4848,835,6,2019,2022
2038,Air Conditioner,Unresponsive,1/29/2023,4561,869,5,2014,2019
2140,Heater,Overheating,5/20/2024,1319,392,4,2017,2020
2055,Coffee Maker,Low performance,8/10/2024,4836,310,16,2022,2025
2108,Air Conditioner,Overheating,5/25/2025,1122,23,24,2018,2023
2065,Lamp,Flickering,10/7/2024,536,252,2,2018,2020
2034,Heater,Leaking,8/30/2024,2434,290,9,2014,2017
2123,Mini Fridge,Flickering,2/23/2025,899,114,8,2022,2026
2097,Lamp,Flickering,7/21/2024,2787,331,9,2019,2021
2062,Coffee Maker,Low performance,7/14/2024,1176,337,4,2020,2023
2056,Air Conditioner,Unresponsive,6/25/2024,2594,357,7,2015,2020
2041,Television,Not working,1/23/2023,3094,876,4,2018,2022
2013,Lamp,Unresponsive,1/31/2024,1082,502,2,2022,2024
2106,Hair Dryer,Overheating,4/29/2023,2915,779,4,2023,2025
2045,Hair Dryer,Leaking,3/10/2025,2806,98,22,2017,2019
2058,Air Conditioner,Overheating,5/14/2023,1038,765,1,2022,2027
2138,Air Conditioner,Not working,1/27/2024,1408,507,3,2023,2028
2136,Air Conditioner,Flickering,8/1/2024,2621,320,8,2021,2026
2067,Lamp,Flickering,2/10/2024,559,492,1,2024,2026
2021,Television,Leaking,10/10/2024,4430,250,18,2018,2022
2051,Coffee Maker,Leaking,8/7/2024,4469,314,13,2016,2019
2119,Television,Not working,4/9/2025,1053,68,17,2023,2027
2038,Air Conditioner,Flickering,12/7/2023,833,558,2,2021,2026
2025,Hair Dryer,Flickering,4/23/2024,4555,419,10,2020,2022
2045,Heater,Flickering,10/8/2024,1064,252,4,2024,2027
2080,Mini Fridge,Low performance,1/11/2023,1389,888,2,2015,2018
2050,Heater,Flickering,4/3/2023,1255,805,2,2016,2019
2031,Television,Leaking,4/8/2024,4491,434,11,2024,2028
2106,Mini Fridge,Overheating,5/5/2025,1530,42,24,2016,2020
2075,Heater,Low performance,1/23/2024,2251,510,4,2019,2022
2026,Mini Fridge,Unresponsive,3/8/2024,1889,465,5,2016,2020
2121,Coffee Maker,Low performance,10/4/2024,4183,256,16,2019,2022
2070,Heater,Overheating,3/1/2024,1928,473,4,2019,2022
2110,Television,Flickering,12/26/2024,4197,173,24,2016,2020
2006,Coffee Maker,Overheating,3/14/2025,1085,94,11,2018,2021
2058,Air Conditioner,Noisy,5/10/2023,752,768,1,2018,2023
2112,Lamp,Flickering,2/2/2024,728,500,1,2018,2020
2134,Heater,Unresponsive,11/9/2023,3980,586,7,2023,2026
2029,Television,Not working,4/15/2025,3459,63,24,2023,2027
2007,Coffee Maker,Low performance,5/5/2025,1768,43,24,2024,2027
2092,Mini Fridge,Noisy,2/25/2024,2763,477,6,2014,2016
2116,Hair Dryer,Flickering,1/26/2025,3803,142,24,2021,2023
2062,Mini Fridge,Overheating,9/26/2024,3550,264,14,2024,2029
2034,Air Conditioner,Overheating,2/28/2023,2563,839,3,2019,2024
2129,Lamp,Leaking,9/4/2024,2192,286,8,2019,2021
2040,Lamp,Overheating,6/12/2025,2162,5,24,2019,2021
2131,Hair Dryer,Unresponsive,1/26/2024,4508,508,8,2019,2021
2063,Coffee Maker,Overheating,9/27/2024,2728,262,10,2014,2017
2112,Television,Overheating,6/26/2023,4036,722,5,2021,2025
2083,Air Conditioner,Unresponsive,3/13/2024,3277,461,7,2014,2019
2099,Mini Fridge,Unresponsive,6/6/2024,2547,376,7,2016,2019
2115,Air Conditioner,Leaking,8/20/2023,1978,666,3,2021,2026
2013,Mini Fridge,Leaking,10/30/2023,4855,595,8,2023,2026
2126,Coffee Maker,Not working,11/30/2023,3327,565,6,2020,2023
2068,Heater,Flickering,6/5/2023,3757,743,5,2018,2021
2033,Air Conditioner,Leaking,3/22/2024,3747,452,8,2014,2019
2047,Television,Flickering,4/6/2025,1535,72,22,2023,2027
2074,Mini Fridge,Overheating,4/29/2025,4249,48,24,2024,2029
2035,Television,Not working,2/23/2024,2140,480,5,2014,2018
